Geometric mean of N = 30 runs.
Benchmarked on Tigerlake: https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html

Aggregate Geometric Mean of New / Old: 0.9996456480425209

Results For: memchr
 len, align,  pos, seek_char, invert_pos, New / Old
  21,    20,   20,         0,          0,     1.001
  19,     0,   20,        23,          0,       1.0
  19,     0,   20,         0,          0,       1.0
  19,    20,   20,        23,          0,     0.998
  19,    20,   20,         0,          0,     0.999
  21,  2048,   20,        23,          0,       1.0
  21,  2048,   20,         0,          0,     1.006
  21,  2068,   20,        23,          0,       1.0
  21,  2068,   20,         0,          0,       1.0
  19,  2048,   20,        23,          0,       1.0
  19,  2048,   20,         0,          0,     0.999
  19,  2068,   20,        23,          0,     1.004
  19,  2068,   20,         0,          0,     1.001
  19,  4081,   20,        23,          0,     1.002
  19,  4081,   20,         0,          0,     1.001
  21,  4081,   20,        23,          0,       1.0
  21,  4081,   20,         0,          0,       1.0
  22,     0,   21,        23,          0,     0.998
  22,     0,   21,         0,          0,       1.0
  22,    21,   21,        23,          0,       1.0
  22,    21,   21,         0,          0,       1.0
  20,     0,   21,        23,          0,       1.0
  20,     0,   21,         0,          0,     1.001
  20,    21,   21,        23,          0,       1.0
  20,    21,   21,         0,          0,       1.0
  22,  2048,   21,        23,          0,       1.0
  22,  2048,   21,         0,          0,       1.0
  22,  2069,   21,        23,          0,       1.0
  22,  2069,   21,         0,          0,       1.0
  20,  2048,   21,        23,          0,       1.0
  20,  2048,   21,         0,          0,       1.0
  20,  2069,   21,        23,          0,       1.0
  20,  2069,   21,         0,          0,       1.0
  20,  4081,   21,        23,          0,       1.0
  20,  4081,   21,         0,          0,       1.0
  22,  4081,   21,        23,          0,       1.0
  22,  4081,   21,         0,          0,       1.0
  23,     0,   22,        23,          0,       1.0
  23,     0,   22,         0,          0,       1.0
  23,    22,   22,        23,          0,       1.0
  23,    22,   22,         0,          0,       1.0
  21,     0,   22,        23,          0,       1.0
  21,     0,   22,         0,          0,       1.0
  21,    22,   22,        23,          0,       1.0
  21,    22,   22,         0,          0,       1.0
  23,  2048,   22,        23,          0,       1.0
  23,  2048,   22,         0,          0,       1.0
  23,  2070,   22,        23,          0,       1.0
  23,  2070,   22,         0,          0,       1.0
  21,  2048,   22,        23,          0,       1.0
  21,  2048,   22,         0,          0,       1.0
  21,  2070,   22,        23,          0,       1.0
  21,  2070,   22,         0,          0,       1.0
  21,  4081,   22,        23,          0,       1.0
  21,  4081,   22,         0,          0,       1.0
  23,  4081,   22,        23,          0,       1.0
  23,  4081,   22,         0,          0,       1.0
  24,     0,   23,        23,          0,       1.0
  24,     0,   23,         0,          0,       1.0
  24,    23,   23,        23,          0,       1.0
  24,    23,   23,         0,          0,       1.0
  22,     0,   23,        23,          0,       1.0
  22,     0,   23,         0,          0,       1.0
  22,    23,   23,        23,          0,       1.0
  22,    23,   23,         0,          0,       1.0
  24,  2048,   23,        23,          0,       1.0
  24,  2048,   23,         0,          0,       1.0
  24,  2071,   23,        23,          0,       1.0
  24,  2071,   23,         0,          0,       1.0
  22,  2048,   23,        23,          0,       1.0
  22,  2048,   23,         0,          0,       1.0
  22,  2071,   23,        23,          0,       1.0
  22,  2071,   23,         0,          0,       1.0
  22,  4081,   23,        23,          0,       1.0
  22,  4081,   23,         0,          0,       1.0
  24,  4081,   23,        23,          0,       1.0
  24,  4081,   23,         0,          0,       1.0
  25,     0,   24,        23,          0,       1.0
  25,     0,   24,         0,          0,       1.0
  25,    24,   24,        23,          0,       1.0
  25,    24,   24,         0,          0,       1.0
  23,     0,   24,        23,          0,       1.0
  23,     0,   24,         0,          0,       1.0
  23,    24,   24,        23,          0,       1.0
  23,    24,   24,         0,          0,       1.0
  25,  2048,   24,        23,          0,       1.0
  25,  2048,   24,         0,          0,       1.0
  25,  2072,   24,        23,          0,       1.0
  25,  2072,   24,         0,          0,       1.0
