                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length   72, alignments in bytes  4/ 0:	14.3422	11.9221	12.0115	12.6902	22.5452
Length   72, alignments in bytes  4/ 4:	15.1971	12.132	11.6228	12.3419	22.6689
Length   72, alignments in bytes  2/ 2:	15.2002	12.2246	11.6215	12.3452	24.1475
Length   72, alignments in bytes  2/ 6:	15.526	13.3665	13.4053	12.2643	31.5314
Length   72, alignments in bytes  6/ 2:	15.4479	11.8995	11.9888	12.6853	21.5693
Length   72, alignments in bytes  1/ 7:	15.4969	13.3551	13.391	12.1855	31.8561
Length   72, alignments in bytes  7/ 1:	15.4341	11.884	12.0076	10.6823	20.5159
Length   72, alignments in bytes  3/ 4:	15.4866	12.3944	13.0914	12.4095	29.1996
Length   72, alignments in bytes  4/ 3:	15.4492	12.3367	11.8123	12.6781	21.8699
Length   72, alignments in bytes  5/ 7:	15.5015	12.5011	13.1007	12.3513	27.6129
Length   72, alignments in bytes  7/ 5:	15.4454	11.9012	11.9843	10.5785	20.71
Length   76, alignments in bytes  0/ 4:	14.9136	11.6106	11.4402	12.0914	23.0107
Length   76, alignments in bytes  4/ 0:	14.3724	12.4501	12.5586	10.4988	22.036
Length   76, alignments in bytes  4/ 4:	15.1962	12.182	12.3486	10.2931	21.8848
Length   76, alignments in bytes  2/ 2:	15.1659	12.2577	11.6401	12.3419	26.3636
Length   76, alignments in bytes  2/ 6:	15.5232	12.5372	12.7239	12.1187	33.8433
Length   76, alignments in bytes  6/ 2:	15.4418	12.4469	12.5187	12.597	20.4647
Length   76, alignments in bytes  1/ 7:	15.4924	12.5631	12.7092	12.1139	34.2725
Length   76, alignments in bytes  7/ 1:	15.4512	12.4399	12.5293	11.0786	19.932
Length   76, alignments in bytes  3/ 4:	15.5002	12.4949	13.1342	10.985	31.3857
Length   76, alignments in bytes  4/ 3:	15.4324	12.2058	12.4397	10.7928	21.9315
Length   76, alignments in bytes  5/ 7:	15.4937	14.0608	13.9724	11.938	27.8564
Length   76, alignments in bytes  7/ 5:	15.457	12.1025	12.4202	11.4392	19.8242
Length   80, alignments in bytes  0/ 4:	14.8789	11.6875	11.9102	10.6068	23.2167
Length   80, alignments in bytes  4/ 0:	14.3881	12.2073	12.3988	11.3436	24.2611
Length   80, alignments in bytes  4/ 4:	15.1973	12.2528	11.6846	11.507	24.1788
Length   80, alignments in bytes  2/ 2:	15.2001	12.276	11.6693	12.0432	25.6162
Length   80, alignments in bytes  2/ 6:	15.5261	13.3387	13.4031	12.839	33.5973
Length   80, alignments in bytes  6/ 2:	15.7954	12.0823	12.4187	12.2479	22.9781
Length   80, alignments in bytes  1/ 7:	15.5039	13.3342	13.4237	11.7147	34.0526
