                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length   44, alignments in bytes  7/ 1:	10.6161	9.34778	9.39709	8.78296	15.8457
Length   44, alignments in bytes  3/ 4:	10.6481	10.0433	11.5607	10.0178	23.2444
Length   44, alignments in bytes  4/ 3:	10.6592	10.3711	10.5671	8.49255	16.5955
Length   44, alignments in bytes  5/ 7:	10.5609	10.0428	11.5645	9.7821	19.5438
Length   44, alignments in bytes  7/ 5:	10.6416	10.3839	10.5316	9.71265	16.1135
Length   48, alignments in bytes  0/ 4:	10.6897	10.2404	9.90051	9.38965	16.125
Length   48, alignments in bytes  4/ 0:	10.326	10.6208	10.4906	9.72278	18.2561
Length   48, alignments in bytes  4/ 4:	12.5721	10.5908	10.6864	9.77234	17.7485
Length   48, alignments in bytes  2/ 2:	10.5874	10.6931	10.6722	9.91907	18.9231
Length   48, alignments in bytes  2/ 6:	10.6423	12.3417	11.8352	10.5464	24.8293
Length   48, alignments in bytes  6/ 2:	10.6777	10.6803	10.53	10.0332	17.856
Length   48, alignments in bytes  1/ 7:	10.6619	12.3422	10.0413	9.42969	25.189
Length   48, alignments in bytes  7/ 1:	10.7201	10.618	10.552	9.72229	17.5822
Length   48, alignments in bytes  3/ 4:	10.6146	10.0419	11.2324	9.83411	22.5507
Length   48, alignments in bytes  4/ 3:	10.6821	10.6235	10.7234	10.6519	17.4865
Length   48, alignments in bytes  5/ 7:	10.7374	13.0955	12.1854	12.2651	22.2484
Length   48, alignments in bytes  7/ 5:	10.676	10.4785	10.5087	9.72205	17.0675
Length   52, alignments in bytes  0/ 4:	10.7466	9.04236	8.83667	10.7241	16.5771
Length   52, alignments in bytes  4/ 0:	10.3759	10.2596	10.6525	10.3583	17.4713
Length   52, alignments in bytes  4/ 4:	10.7461	10.4169	10.7139	9.77466	16.7804
Length   52, alignments in bytes  2/ 2:	10.6637	10.5192	10.6527	11.6758	21.2469
Length   52, alignments in bytes  2/ 6:	10.5951	10.0428	11.5129	11.6084	27.3218
Length   52, alignments in bytes  6/ 2:	10.6483	10.6038	10.656	11.201	16.9091
Length   52, alignments in bytes  1/ 7:	10.6029	12.34	11.8877	11.2786	27.6382
Length   52, alignments in bytes  7/ 1:	10.6527	10.6473	10.4968	11.2051	16.6351
Length   52, alignments in bytes  3/ 4:	10.629	11.7089	11.5439	9.82996	25.1279
Length   52, alignments in bytes  4/ 3:	10.71	10.5525	10.6859	11.8253	17.219
Length   52, alignments in bytes  5/ 7:	10.7119	11.7115	11.4606	11.9479	21.2905
Length   52, alignments in bytes  7/ 5:	10.5793	10.2762	10.6915	11.3785	16.7426
Length   56, alignments in bytes  0/ 4:	10.7473	9.01855	8.88684	10.7787	17.0212
Length   56, alignments in bytes  4/ 0:	10.4241	10.2711	10.7134	12.0411	19.2134
Length   56, alignments in bytes  4/ 4:	10.6648	10.5105	10.6365	11.9924	18.958
Length   56, alignments in bytes  2/ 2:	10.894	10.5585	10.6453	12.0071	20.3969
Length   56, alignments in bytes  2/ 6:	10.6517	11.7109	11.5479	11.9976	26.87
Length   56, alignments in bytes  6/ 2:	10.6821	10.5587	10.7089	11.3788	18.2905
Length   56, alignments in bytes  1/ 7:	10.7721	10.0414	11.5062	11.3478	27.1193
Length   56, alignments in bytes  7/ 1:	10.6686	10.5988	10.6626	9.72034	18.431
Length   56, alignments in bytes  3/ 4:	10.6689	11.7112	11.5142	12.0496	24.4637
Length   56, alignments in bytes  4/ 3:	11.3649	10.8701	10.9094	11.6562	19.0325
Length   56, alignments in bytes  5/ 7:	11.0273	11.9954	11.7921	12.3412	23.8322
Length   56, alignments in bytes  7/ 5:	10.8757	10.5597	10.9672	9.96094	18.3911
Length   60, alignments in bytes  0/ 4:	10.7899	9.20642	9.1416	12.3367	18.7433
Length   60, alignments in bytes  4/ 0:	11.1312	10.3085	10.5775	9.526	19.0906
Length   60, alignments in bytes  4/ 4:	11.8335	11.0691	12.1061	9.22522	18.6815
Length   60, alignments in bytes  2/ 2:	10.9783	10.7972	10.9635	12.2834	23.41
Length   60, alignments in bytes  2/ 6:	10.7754	11.9984	11.8547	12.3392	29.999
Length   60, alignments in bytes  6/ 2:	11.2285	10.3109	10.6218	12.3311	17.998
Length   60, alignments in bytes  1/ 7:	12.8539	11.9941	12.204	12.8207	30.0385
Length   60, alignments in bytes  7/ 1:	11.2126	10.3116	10.658	10.5144	17.7406
Length   60, alignments in bytes  3/ 4:	11.0162	11.9978	11.8634	10.3186	26.9918
Length   60, alignments in bytes  4/ 3:	10.9358	10.8364	11.7744	9.41907	18.347
Length   60, alignments in bytes  5/ 7:	11.3965	10.7405	12.7159	10.6119	23.2412
Length   60, alignments in bytes  7/ 5:	11.3615	10.8458	11.8169	10.2943	17.267
Length   64, alignments in bytes  0/ 4:	14.2394	9.06335	8.68359	9.37256	18.8978
Length   64, alignments in bytes  4/ 0:	13.5073	10.0396	10.0546	10.1503	20.7386
Length   64, alignments in bytes  4/ 4:	13.8969	12.3591	13.215	10.9082	20.5103
Length   64, alignments in bytes  2/ 2:	13.9241	9.87659	9.88269	11.0535	21.9397
Length   64, alignments in bytes  2/ 6:	14.2802	10.3918	10.4973	11.8367	28.9419
Length   64, alignments in bytes  6/ 2:	14.7064	10.0317	10.1929	12.4397	20.3386
Length   64, alignments in bytes  1/ 7:	14.6133	10.0356	9.59106	10.4181	29.8467
Length   64, alignments in bytes  7/ 1:	14.9761	10.2603	10.4292	10.5461	19.399
Length   64, alignments in bytes  3/ 4:	14.5889	10.4569	10.4211	10.9996	27.3646
Length   64, alignments in bytes  4/ 3:	14.9557	12.5587	12.8105	12.3239	20.313
Length   64, alignments in bytes  5/ 7:	14.6072	13.74	14.4095	12.455	25.6886
Length   64, alignments in bytes  7/ 5:	15.0319	11.675	11.7355	10.5667	19.0587
Length   68, alignments in bytes  0/ 4:	14.6512	12.0261	12.2053	11.7969	21.0068
Length   68, alignments in bytes  4/ 0:	16.2185	13.958	13.8484	13.1326	24.9208
Length   68, alignments in bytes  4/ 4:	17.7753	12.2189	12.9811	11.1835	20.3235
Length   68, alignments in bytes  2/ 2:	14.3239	12.0948	12.1921	12.34	24.7358
Length   68, alignments in bytes  2/ 6:	14.6829	13.4069	13.7694	11.8903	31.6753
Length   68, alignments in bytes  6/ 2:	14.9429	12.4734	12.59	12.3362	19.484
Length   68, alignments in bytes  1/ 7:	14.6292	12.7672	12.8567	11.9703	32.2717
Length   68, alignments in bytes  7/ 1:	14.9833	12.1394	12.1654	12.3405	18.8535
Length   68, alignments in bytes  3/ 4:	14.636	13.4269	13.7402	10.9755	29.7198
Length   68, alignments in bytes  4/ 3:	14.9198	12.1605	12.8389	12.3268	20.464
Length   68, alignments in bytes  5/ 7:	14.6451	14.0476	14.3994	12.4578	25.932
Length   68, alignments in bytes  7/ 5:	14.9982	12.1796	12.8301	12.6858	18.7874
Length   72, alignments in bytes  0/ 4:	14.6288	11.7384	11.9917	11.8467	21.2095
Length   72, alignments in bytes  4/ 0:	13.8982	11.8397	12.0698	12.6769	22.7672
Length   72, alignments in bytes  4/ 4:	14.3571	12.0857	11.7357	12.3417	22.5179
Length   72, alignments in bytes  2/ 2:	14.2775	12.0518	11.4696	12.0503	23.5461
Length   72, alignments in bytes  2/ 6:	14.314	13.0187	13.0671	11.9874	30.7373
Length   72, alignments in bytes  6/ 2:	14.61	11.5795	11.8458	12.3809	21.1102
Length   72, alignments in bytes  1/ 7:	14.3289	13.2865	15.1779	12.168	31.8278
Length   72, alignments in bytes  7/ 1:	16.2703	11.5948	11.8167	10.3041	20.0973
Length   72, alignments in bytes  3/ 4:	14.2896	12.0726	12.9183	12.0503	28.6611
Length   72, alignments in bytes  4/ 3:	14.585	11.8602	11.9385	12.3795	21.3534
Length   72, alignments in bytes  5/ 7:	14.3024	12.1504	12.9026	12.1316	26.9788
Length   72, alignments in bytes  7/ 5:	14.6099	11.5669	11.828	10.2998	19.9075
Length   76, alignments in bytes  0/ 4:	14.1622	11.3577	10.901	11.8788	22.4481
Length   76, alignments in bytes  4/ 0:	13.3132	12.1843	13.1246	10.0748	21.5211
Length   76, alignments in bytes  4/ 4:	13.9952	11.932	13.0471	9.93201	21.3585
Length   76, alignments in bytes  2/ 2:	13.9219	11.8033	11.6211	12.0487	26.7896
Length   76, alignments in bytes  2/ 6:	14.3199	12.0688	12.6254	11.7986	33.0811
Length   76, alignments in bytes  6/ 2:	14.6039	12.1771	12.7354	12.4226	20.5112
Length   76, alignments in bytes  1/ 7:	14.6499	12.3875	12.9293	12.1649	34.2972
Length   76, alignments in bytes  7/ 1:	14.928	12.48	12.7407	11.0455	20.0146
Length   76, alignments in bytes  3/ 4:	14.6735	12.3718	13.2261	10.9857	31.8428
Length   76, alignments in bytes  4/ 3:	14.9861	12.262	13.202	10.4095	21.944
Length   76, alignments in bytes  5/ 7:	14.6721	14.0457	14.3712	12.0598	27.7965
Length   76, alignments in bytes  7/ 5:	14.9398	12.2528	13.2123	11.4474	20.0074
Length   80, alignments in bytes  0/ 4:	16.225	11.6659	11.8817	10.5542	23.1028
Length   80, alignments in bytes  4/ 0:	13.6432	12.2523	13.2224	11.3257	24.1963
Length   80, alignments in bytes  4/ 4:	14.3041	12.2345	11.7316	11.5238	24.0986
Length   80, alignments in bytes  2/ 2:	14.2379	12.2025	11.7565	11.9674	27.4427
Length   80, alignments in bytes  2/ 6:	14.6747	13.3335	13.4014	12.6832	33.4275
Length   80, alignments in bytes  6/ 2:	14.9487	12.2362	13.2103	12.2476	22.9412
Length   80, alignments in bytes  1/ 7:	14.6478	13.4938	13.1061	11.4496	33.1268
Length   80, alignments in bytes  7/ 1:	14.5526	11.9882	12.8679	11.1637	21.1425
