Geometric mean of N = 30 runs.
Benchmarked on Tigerlake: https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html

Aggregate Geometric Mean of New / Old: 0.9674465599435252

Results For: memchr
 len, align,  pos, seek_char, invert_pos, New / Old
  25,    26,   26,         0,          0,     1.006
  27,  2048,   26,        23,          0,     0.927
  27,  2048,   26,         0,          0,      0.91
  27,  2074,   26,        23,          0,     0.894
  27,  2074,   26,         0,          0,     0.912
  25,  2048,   26,        23,          0,     1.005
  25,  2048,   26,         0,          0,     1.006
  25,  2074,   26,        23,          0,     1.001
  25,  2074,   26,         0,          0,     1.004
  25,  4081,   26,        23,          0,     1.009
  25,  4081,   26,         0,          0,     1.001
  27,  4081,   26,        23,          0,     1.032
  27,  4081,   26,         0,          0,     1.039
  28,     0,   27,        23,          0,     0.867
  28,     0,   27,         0,          0,     0.901
  28,    27,   27,        23,          0,     0.902
  28,    27,   27,         0,          0,     0.895
  26,     0,   27,        23,          0,       1.0
  26,     0,   27,         0,          0,     1.008
  26,    27,   27,        23,          0,     0.996
  26,    27,   27,         0,          0,     1.006
  28,  2048,   27,        23,          0,     0.895
  28,  2048,   27,         0,          0,     0.916
  28,  2075,   27,        23,          0,     0.888
  28,  2075,   27,         0,          0,     0.908
  26,  2048,   27,        23,          0,     1.004
  26,  2048,   27,         0,          0,     1.011
  26,  2075,   27,        23,          0,     1.003
  26,  2075,   27,         0,          0,     1.004
  26,  4081,   27,        23,          0,       1.0
  26,  4081,   27,         0,          0,     1.002
  28,  4081,   27,        23,          0,     1.017
  28,  4081,   27,         0,          0,     1.021
  29,     0,   28,        23,          0,     0.894
  29,     0,   28,         0,          0,     0.928
  29,    28,   28,        23,          0,     0.875
  29,    28,   28,         0,          0,     0.924
  27,     0,   28,        23,          0,     1.007
  27,     0,   28,         0,          0,       1.0
  27,    28,   28,        23,          0,     1.008
  27,    28,   28,         0,          0,     1.001
  29,  2048,   28,        23,          0,     0.902
  29,  2048,   28,         0,          0,      0.91
  29,  2076,   28,        23,          0,     0.875
  29,  2076,   28,         0,          0,     0.908
  27,  2048,   28,        23,          0,     1.012
  27,  2048,   28,         0,          0,     1.001
  27,  2076,   28,        23,          0,     0.996
  27,  2076,   28,         0,          0,     1.001
  27,  4081,   28,        23,          0,     0.995
  27,  4081,   28,         0,          0,     0.998
  29,  4081,   28,        23,          0,     1.045
