                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length   76, alignments in bytes  2/ 6:	14.6591	12.3453	12.9252	12.1132	33.87
Length   76, alignments in bytes  6/ 2:	14.9288	12.4637	12.7875	12.5291	20.4746
Length   76, alignments in bytes  1/ 7:	14.6511	12.3499	12.9238	12.1437	34.3307
Length   76, alignments in bytes  7/ 1:	14.9341	12.4766	12.7828	11.0455	20.0198
Length   76, alignments in bytes  3/ 4:	14.6271	12.3593	13.2417	10.978	31.8954
Length   76, alignments in bytes  4/ 3:	14.9623	12.2253	13.2537	10.4214	22.0504
Length   76, alignments in bytes  5/ 7:	14.6849	14.0468	14.3063	12.0996	28.4227
Length   76, alignments in bytes  7/ 5:	14.9915	12.2244	13.2927	11.4485	20.0072
Length   80, alignments in bytes  0/ 4:	14.621	11.6688	11.8821	10.582	23.1165
Length   80, alignments in bytes  4/ 0:	13.8469	12.233	13.246	11.3225	26.7802
Length   80, alignments in bytes  4/ 4:	14.2499	12.3022	11.7424	11.5168	24.1417
Length   80, alignments in bytes  2/ 2:	14.267	11.8395	11.7432	11.9503	27.4441
Length   80, alignments in bytes  2/ 6:	14.6539	13.3291	13.4113	12.7195	33.4517
Length   80, alignments in bytes  6/ 2:	14.9165	12.231	13.2709	12.2533	22.9373
Length   80, alignments in bytes  1/ 7:	14.6962	13.3411	13.4087	11.7579	33.9016
Length   80, alignments in bytes  7/ 1:	14.9105	12.2627	13.2942	11.4513	21.6575
