                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length   76, alignments in bytes  7/ 1:	15.4191	12.4606	12.5231	11.0657	19.8132
Length   76, alignments in bytes  3/ 4:	15.502	12.5536	13.1439	10.9841	31.5387
Length   76, alignments in bytes  4/ 3:	15.4442	12.1749	12.8739	10.5015	21.9113
Length   76, alignments in bytes  5/ 7:	15.4977	14.0663	13.9967	11.8982	28.0118
Length   76, alignments in bytes  7/ 5:	15.4552	12.1953	12.4305	11.4346	19.9091
Length   80, alignments in bytes  0/ 4:	14.9182	11.6868	11.8989	10.6035	23.1852
Length   80, alignments in bytes  4/ 0:	14.3727	12.2124	12.4286	11.323	24.2332
Length   80, alignments in bytes  4/ 4:	15.1873	12.1437	11.6536	11.5125	24.2583
Length   80, alignments in bytes  2/ 2:	15.198	12.3181	11.6656	12.0989	25.6432
Length   80, alignments in bytes  2/ 6:	15.4736	13.3315	13.4233	12.8099	33.6858
Length   80, alignments in bytes  6/ 2:	15.444	12.1873	12.4207	12.2129	22.964
Length   80, alignments in bytes  1/ 7:	15.4875	13.3395	13.4183	11.7286	34.1863
