                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length 1024/1024, alignment  1/ 6, N  512:	50.8497	46.984	47.7139	64.7745	53.1103
Length 1024/ 256, alignment  0/ 0, N  512:	49.6005	33.8593	34.8839	43.2657	49.3172
Length 1024/ 256, alignment  1/ 6, N  512:	60.4348	44.8636	45.2755	49.4163	59.9693
Length   16/   1, alignment  1/ 2, N  512:	25.6039	23.5397	24.1555	22.1166	25.7039
Length   16/   1, alignment  2/ 1, N  512:	25.5717	23.5032	24.0116	21.5577	24.9853
Length   16/  10, alignment  1/ 1, N  512:	25.0012	22.8971	23.4139	21.5973	25.1006
Length   32/   1, alignment  2/ 4, N  512:	24.9013	23.6292	24.0862	23.5976	24.2418
Length   32/   1, alignment  4/ 2, N  512:	24.2643	22.8717	23.5228	23.0028	24.2855
Length   32/  10, alignment  2/ 2, N  512:	24.2752	23.0095	23.7249	23.0702	24.0458
Length   64/   1, alignment  3/ 6, N  512:	27.2685	25.8445	26.7148	25.2444	27.0105
Length   64/   1, alignment  6/ 3, N  512:	26.9802	26.3681	27.1761	25.0639	27.8274
Length   64/  10, alignment  3/ 3, N  512:	27.4435	26.443	26.9974	25.2274	27.0333
Length  128/   1, alignment  4/ 0, N  512:	27.9775	30.2013	30.7097	30.9236	27.8882
Length  128/   1, alignment  0/ 4, N  512:	27.8014	28.2768	29.2674	31.311	28.5935
Length  128/  10, alignment  4/ 4, N  512:	28.5929	30.227	30.8351	30.8989	28.6596
Length  256/   1, alignment  5/ 2, N  512:	34.1921	31.6416	33.021	34.2965	35.2281
Length  256/   1, alignment  2/ 5, N  512:	35.1557	34.6846	35.7439	35.9895	34.7849
Length  256/  10, alignment  5/ 5, N  512:	34.442	34.5456	35.3112	35.774	34.9924
Length  512/   1, alignment  6/ 4, N  512:	44.4659	42.1269	42.7715	47.2551	43.9969
Length  512/   1, alignment  4/ 6, N  512:	44.8173	42.6481	43.3083	48.2804	45.5942
Length  512/  10, alignment  6/ 6, N  512:	45.6817	42.5426	43.3035	47.1378	45.4723
Length 1024/   1, alignment  7/ 6, N  512:	41.9958	34.061	34.6547	40.3517	41.7738
Length 1024/   1, alignment  6/ 7, N  512:	45.6597	42.4168	43.1049	47.0239	45.7594
Length 1024/  10, alignment  7/ 7, N  512:	45.7691	42.3715	43.0976	46.8783	45.9749
Length    2/   2, alignment  0/ 2, N 2048:	24.7541	22.7448	23.6384	21.5926	24.8302
Length    4/   4, alignment  0/ 0, N 2048:	24.9391	22.8873	23.7023	21.4721	24.9219
Length    4/   4, alignment  4/ 0, N 2048:	24.911	22.8299	23.605	21.4537	24.8283
Length    8/   8, alignment  0/ 0, N 2048:	24.8773	22.7439	22.9409	20.9121	24.4645
Length    8/   8, alignment  0/ 0, N 2048:	24.2502	22.218	22.8696	20.9821	24.3517
Length   16/  16, alignment  0/ 0, N 2048:	24.3581	22.327	22.9048	21.3679	23.874
Length   16/  16, alignment  7/ 2, N 2048:	23.8458	21.8528	22.5289	21.4749	23.8859
Length   16/   4, alignment  0/ 0, N 2048:	24.238	21.8523	22.4297	20.6113	23.8907
Length   16/   4, alignment  7/ 2, N 2048:	23.7869	21.7908	22.3781	20.5384	23.7447
Length   32/  32, alignment  0/ 0, N 2048:	24.4208	23.804	24.2263	22.9044	23.8537
Length   32/  32, alignment  6/ 4, N 2048:	28.6993	25.5444	26.1827	25.8261	28.9493
Length   32/   8, alignment  0/ 0, N 2048:	23.7474	22.5441	22.988	21.9587	23.8074
Length   32/   8, alignment  6/ 4, N 2048:	23.7022	23.1496	23.4968	22.5448	23.6537
Length   64/  64, alignment  0/ 0, N 2048:	23.9186	23.7339	24.8415	24.6594	24.4438
Length   64/  64, alignment  5/ 6, N 2048:	27.8165	28.3903	29.0934	28.0055	27.7814
Length   64/  16, alignment  0/ 0, N 2048:	27.0236	27.7237	26.713	24.4556	26.8227
